concept_code,string_type,string,question_about,question_patient,question_physician
82,brand,Cabometyx,Tell me about Cabometyx.,"As a patient, what should I know about Cabometyx?","As a physician, what should I know about Cabometyx?"
83,brand,Asparlas,Tell me about Asparlas.,"As a patient, what should I know about Asparlas?","As a physician, what should I know about Asparlas?"
86,brand,Cabita,Tell me about Cabita.,"As a patient, what should I know about Cabita?","As a physician, what should I know about Cabita?"
88,brand,Biocarb,Tell me about Biocarb.,"As a patient, what should I know about Biocarb?","As a physician, what should I know about Biocarb?"
89,brand,Carfilnat,Tell me about Carfilnat.,"As a patient, what should I know about Carfilnat?","As a physician, what should I know about Carfilnat?"
90,brand,Becenun,Tell me about Becenun.,"As a patient, what should I know about Becenun?","As a physician, what should I know about Becenun?"
91,brand,Biodel,Tell me about Biodel.,"As a patient, what should I know about Biodel?","As a physician, what should I know about Biodel?"
94,brand,Recentin,Tell me about Recentin.,"As a patient, what should I know about Recentin?","As a physician, what should I know about Recentin?"
95,brand,Libtayo,Tell me about Libtayo.,"As a patient, what should I know about Libtayo?","As a physician, what should I know about Libtayo?"
96,brand,Lucicer,Tell me about Lucicer.,"As a patient, what should I know about Lucicer?","As a physician, what should I know about Lucicer?"
98,brand,Cetuxim,Tell me about Cetuxim.,"As a patient, what should I know about Cetuxim?","As a physician, what should I know about Cetuxim?"
99,brand,Epidaza,Tell me about Epidaza.,"As a patient, what should I know about Epidaza?","As a physician, what should I know about Epidaza?"
100,brand,Chlorambusil,Tell me about Chlorambusil.,"As a patient, what should I know about Chlorambusil?","As a physician, what should I know about Chlorambusil?"
105,brand,Abiplatin,Tell me about Abiplatin.,"As a patient, what should I know about Abiplatin?","As a physician, what should I know about Abiplatin?"
107,brand,Leustatin,Tell me about Leustatin.,"As a patient, what should I know about Leustatin?","As a physician, what should I know about Leustatin?"
108,brand,Biaxin,Tell me about Biaxin.,"As a patient, what should I know about Biaxin?","As a physician, what should I know about Biaxin?"
111,brand,Clolar,Tell me about Clolar.,"As a patient, what should I know about Clolar?","As a physician, what should I know about Clolar?"
113,brand,Cotellic,Tell me about Cotellic.,"As a patient, what should I know about Cotellic?","As a physician, what should I know about Cotellic?"
115,brand,Aliqopa,Tell me about Aliqopa.,"As a patient, what should I know about Aliqopa?","As a physician, what should I know about Aliqopa?"
119,brand,Crizalk,Tell me about Crizalk.,"As a patient, what should I know about Crizalk?","As a physician, what should I know about Crizalk?"
122,brand,Alkyloxan,Tell me about Alkyloxan.,"As a patient, what should I know about Alkyloxan?","As a physician, what should I know about Alkyloxan?"
125,brand,Androcur,Tell me about Androcur.,"As a patient, what should I know about Androcur?","As a physician, what should I know about Androcur?"
126,brand,Alcysten,Tell me about Alcysten.,"As a patient, what should I know about Alcysten?","As a physician, what should I know about Alcysten?"
127,brand,Vyxeos,Tell me about Vyxeos.,"As a patient, what should I know about Vyxeos?","As a physician, what should I know about Vyxeos?"
131,brand,Rafinlar,Tell me about Rafinlar.,"As a patient, what should I know about Rafinlar?","As a physician, what should I know about Rafinlar?"
132,brand,Bazipar,Tell me about Bazipar.,"As a patient, what should I know about Bazipar?","As a physician, what should I know about Bazipar?"
133,brand,Vizimpro,Tell me about Vizimpro.,"As a patient, what should I know about Vizimpro?","As a physician, what should I know about Vizimpro?"
134,brand,Cosmegen,Tell me about Cosmegen.,"As a patient, what should I know about Cosmegen?","As a physician, what should I know about Cosmegen?"
137,brand,Danatrol,Tell me about Danatrol.,"As a patient, what should I know about Danatrol?","As a physician, what should I know about Danatrol?"
139,brand,Darzalex,Tell me about Darzalex.,"As a patient, what should I know about Darzalex?","As a physician, what should I know about Darzalex?"
141,brand,Nubeqa,Tell me about Nubeqa.,"As a patient, what should I know about Nubeqa?","As a physician, what should I know about Nubeqa?"
142,brand,Sprycel,Tell me about Sprycel.,"As a patient, what should I know about Sprycel?","As a physician, what should I know about Sprycel?"
143,brand,Cerubidin,Tell me about Cerubidin.,"As a patient, what should I know about Cerubidin?","As a physician, what should I know about Cerubidin?"
144,brand,DaunoXome,Tell me about DaunoXome.,"As a patient, what should I know about DaunoXome?","As a physician, what should I know about DaunoXome?"
145,brand,Dacogen,Tell me about Dacogen.,"As a patient, what should I know about Dacogen?","As a physician, what should I know about Dacogen?"
151,brand,Firmagon,Tell me about Firmagon.,"As a patient, what should I know about Firmagon?","As a physician, what should I know about Firmagon?"
152,brand,Ontak,Tell me about Ontak.,"As a patient, what should I know about Ontak?","As a physician, what should I know about Ontak?"
154,brand,Prolia,Tell me about Prolia.,"As a patient, what should I know about Prolia?","As a physician, what should I know about Prolia?"
156,brand,Aacidexam,Tell me about Aacidexam.,"As a patient, what should I know about Aacidexam?","As a physician, what should I know about Aacidexam?"
158,brand,Cardioxane,Tell me about Cardioxane.,"As a patient, what should I know about Cardioxane?","As a physician, what should I know about Cardioxane?"
159,brand,Desplex,Tell me about Desplex.,"As a patient, what should I know about Desplex?","As a physician, what should I know about Desplex?"
161,brand,Unituxin,Tell me about Unituxin.,"As a patient, what should I know about Unituxin?","As a physician, what should I know about Unituxin?"
164,brand,Asodocel,Tell me about Asodocel.,"As a patient, what should I know about Asodocel?","As a physician, what should I know about Asodocel?"
169,brand,Didox,Tell me about Didox.,"As a patient, what should I know about Didox?","As a physician, what should I know about Didox?"
170,brand,Adriablastina,Tell me about Adriablastina.,"As a patient, what should I know about Adriablastina?","As a physician, what should I know about Adriablastina?"
173,brand,Imfinzi,Tell me about Imfinzi.,"As a patient, what should I know about Imfinzi?","As a physician, what should I know about Imfinzi?"
174,brand,Avodart,Tell me about Avodart.,"As a patient, what should I know about Avodart?","As a physician, what should I know about Avodart?"
175,brand,Copiktra,Tell me about Copiktra.,"As a patient, what should I know about Copiktra?","As a physician, what should I know about Copiktra?"
178,brand,Panorex,Tell me about Panorex.,"As a patient, what should I know about Panorex?","As a physician, what should I know about Panorex?"
179,brand,Empliciti,Tell me about Empliciti.,"As a patient, what should I know about Empliciti?","As a physician, what should I know about Empliciti?"
182,brand,Idhifa,Tell me about Idhifa.,"As a patient, what should I know about Idhifa?","As a physician, what should I know about Idhifa?"
183,brand,Braftovi,Tell me about Braftovi.,"As a patient, what should I know about Braftovi?","As a physician, what should I know about Braftovi?"
188,brand,Rozlytrek,Tell me about Rozlytrek.,"As a patient, what should I know about Rozlytrek?","As a physician, what should I know about Rozlytrek?"
189,brand,Azel,Tell me about Azel.,"As a patient, what should I know about Azel?","As a physician, what should I know about Azel?"
191,brand,Alrubicin,Tell me about Alrubicin.,"As a patient, what should I know about Alrubicin?","As a physician, what should I know about Alrubicin?"
196,brand,Balversa,Tell me about Balversa.,"As a patient, what should I know about Balversa?","As a physician, what should I know about Balversa?"
197,brand,Brutravon,Tell me about Brutravon.,"As a patient, what should I know about Brutravon?","As a physician, what should I know about Brutravon?"
198,brand,Erlocip,Tell me about Erlocip.,"As a patient, what should I know about Erlocip?","As a physician, what should I know about Erlocip?"
200,brand,Emcyt,Tell me about Emcyt.,"As a patient, what should I know about Emcyt?","As a physician, what should I know about Emcyt?"
201,brand,Aside,Tell me about Aside.,"As a patient, what should I know about Aside?","As a physician, what should I know about Aside?"
202,brand,Advacan,Tell me about Advacan.,"As a patient, what should I know about Advacan?","As a physician, what should I know about Advacan?"
203,brand,Aromadex,Tell me about Aromadex.,"As a patient, what should I know about Aromadex?","As a physician, what should I know about Aromadex?"
222,brand,FUDR,Tell me about FUDR.,"As a patient, what should I know about FUDR?","As a physician, what should I know about FUDR?"
224,brand,Beneflur,Tell me about Beneflur.,"As a patient, what should I know about Beneflur?","As a physician, what should I know about Beneflur?"
225,brand,Accusite,Tell me about Accusite.,"As a patient, what should I know about Accusite?","As a physician, what should I know about Accusite?"
226,brand,Halotestin,Tell me about Halotestin.,"As a patient, what should I know about Halotestin?","As a physician, what should I know about Halotestin?"
227,brand,Cytomid,Tell me about Cytomid.,"As a patient, what should I know about Cytomid?","As a physician, what should I know about Cytomid?"
229,brand,Antrex,Tell me about Antrex.,"As a patient, what should I know about Antrex?","As a physician, what should I know about Antrex?"
231,brand,Lentaron,Tell me about Lentaron.,"As a patient, what should I know about Lentaron?","As a physician, what should I know about Lentaron?"
232,brand,Fodosine,Tell me about Fodosine.,"As a patient, what should I know about Fodosine?","As a physician, what should I know about Fodosine?"
234,brand,Tavalisse,Tell me about Tavalisse.,"As a patient, what should I know about Tavalisse?","As a physician, what should I know about Tavalisse?"
235,brand,Muphoran,Tell me about Muphoran.,"As a patient, what should I know about Muphoran?","As a physician, what should I know about Muphoran?"
237,brand,Faslodex,Tell me about Faslodex.,"As a patient, what should I know about Faslodex?","As a physician, what should I know about Faslodex?"
242,brand,Cangib,Tell me about Cangib.,"As a patient, what should I know about Cangib?","As a physician, what should I know about Cangib?"
243,brand,Gemcite,Tell me about Gemcite.,"As a patient, what should I know about Gemcite?","As a physician, what should I know about Gemcite?"
244,brand,Mylotarg,Tell me about Mylotarg.,"As a patient, what should I know about Mylotarg?","As a physician, what should I know about Mylotarg?"
245,brand,Xospata,Tell me about Xospata.,"As a patient, what should I know about Xospata?","As a physician, what should I know about Xospata?"
246,brand,Daurismo,Tell me about Daurismo.,"As a patient, what should I know about Daurismo?","As a physician, what should I know about Daurismo?"
248,brand,Novgos,Tell me about Novgos.,"As a patient, what should I know about Novgos?","As a physician, what should I know about Novgos?"
256,brand,Supprelin,Tell me about Supprelin.,"As a patient, what should I know about Supprelin?","As a physician, what should I know about Supprelin?"
258,brand,Cortef,Tell me about Cortef.,"As a patient, what should I know about Cortef?","As a physician, what should I know about Cortef?"
259,brand,Biosupressin,Tell me about Biosupressin.,"As a patient, what should I know about Biosupressin?","As a physician, what should I know about Biosupressin?"
262,brand,Zevalin,Tell me about Zevalin.,"As a patient, what should I know about Zevalin?","As a physician, what should I know about Zevalin?"
263,brand,Ibrunib,Tell me about Ibrunib.,"As a patient, what should I know about Ibrunib?","As a physician, what should I know about Ibrunib?"
264,brand,Conmana,Tell me about Conmana.,"As a patient, what should I know about Conmana?","As a physician, what should I know about Conmana?"
265,brand,Idamycin,Tell me about Idamycin.,"As a patient, what should I know about Idamycin?","As a physician, what should I know about Idamycin?"
267,brand,Zydelig,Tell me about Zydelig.,"As a patient, what should I know about Zydelig?","As a physician, what should I know about Zydelig?"
268,brand,Alquimid,Tell me about Alquimid.,"As a patient, what should I know about Alquimid?","As a physician, what should I know about Alquimid?"
269,brand,Enliven,Tell me about Enliven.,"As a patient, what should I know about Enliven?","As a physician, what should I know about Enliven?"
272,brand,Truseltiq,Tell me about Truseltiq.,"As a patient, what should I know about Truseltiq?","As a physician, what should I know about Truseltiq?"
273,brand,Besponsa,Tell me about Besponsa.,"As a patient, what should I know about Besponsa?","As a physician, what should I know about Besponsa?"
274,brand,Laroferon,Tell me about Laroferon.,"As a patient, what should I know about Laroferon?","As a physician, what should I know about Laroferon?"
275,brand,Advaferon,Tell me about Advaferon.,"As a patient, what should I know about Advaferon?","As a physician, what should I know about Advaferon?"
276,brand,Actimmune,Tell me about Actimmune.,"As a patient, what should I know about Actimmune?","As a physician, what should I know about Actimmune?"
279,brand,Yervoy,Tell me about Yervoy.,"As a patient, what should I know about Yervoy?","As a physician, what should I know about Yervoy?"
280,brand,Axinotecan,Tell me about Axinotecan.,"As a patient, what should I know about Axinotecan?","As a physician, what should I know about Axinotecan?"
281,brand,Onivyde,Tell me about Onivyde.,"As a patient, what should I know about Onivyde?","As a physician, what should I know about Onivyde?"
284,brand,Sarclisa,Tell me about Sarclisa.,"As a patient, what should I know about Sarclisa?","As a physician, what should I know about Sarclisa?"
285,brand,Absorica,Tell me about Absorica.,"As a patient, what should I know about Absorica?","As a physician, what should I know about Absorica?"
287,brand,Tibsovo,Tell me about Tibsovo.,"As a patient, what should I know about Tibsovo?","As a physician, what should I know about Tibsovo?"
288,brand,Ixempra,Tell me about Ixempra.,"As a patient, what should I know about Ixempra?","As a physician, what should I know about Ixempra?"
289,brand,Ninlaro,Tell me about Ninlaro.,"As a patient, what should I know about Ninlaro?","As a physician, what should I know about Ninlaro?"
290,brand,Nizoral,Tell me about Nizoral.,"As a patient, what should I know about Nizoral?","As a physician, what should I know about Nizoral?"
294,brand,Ipstyl,Tell me about Ipstyl.,"As a patient, what should I know about Ipstyl?","As a physician, what should I know about Ipstyl?"
295,brand,Prevacid,Tell me about Prevacid.,"As a patient, what should I know about Prevacid?","As a physician, what should I know about Prevacid?"
296,brand,Abnib,Tell me about Abnib.,"As a patient, what should I know about Abnib?","As a physician, what should I know about Abnib?"
298,brand,Vitrakvi,Tell me about Vitrakvi.,"As a patient, what should I know about Vitrakvi?","As a physician, what should I know about Vitrakvi?"
299,brand,Adlinod,Tell me about Adlinod.,"As a patient, what should I know about Adlinod?","As a physician, what should I know about Adlinod?"
300,brand,Granocyte,Tell me about Granocyte.,"As a patient, what should I know about Granocyte?","As a physician, what should I know about Granocyte?"
301,brand,Kisplyx,Tell me about Kisplyx.,"As a patient, what should I know about Kisplyx?","As a physician, what should I know about Kisplyx?"
304,brand,Femara,Tell me about Femara.,"As a patient, what should I know about Femara?","As a physician, what should I know about Femara?"
305,brand,Camcevi,Tell me about Camcevi.,"As a patient, what should I know about Camcevi?","As a physician, what should I know about Camcevi?"
306,brand,Ergamisol,Tell me about Ergamisol.,"As a patient, what should I know about Ergamisol?","As a physician, what should I know about Ergamisol?"
308,brand,Fusilev,Tell me about Fusilev.,"As a patient, what should I know about Fusilev?","As a physician, what should I know about Fusilev?"
311,brand,CeeNu,Tell me about CeeNu.,"As a patient, what should I know about CeeNu?","As a physician, what should I know about CeeNu?"
314,brand,Lorbrena,Tell me about Lorbrena.,"As a patient, what should I know about Lorbrena?","As a physician, what should I know about Lorbrena?"
316,brand,Lutathera,Tell me about Lutathera.,"As a patient, what should I know about Lutathera?","As a physician, what should I know about Lutathera?"
318,brand,Minjuvi,Tell me about Minjuvi.,"As a patient, what should I know about Minjuvi?","As a physician, what should I know about Minjuvi?"
322,brand,Ledaga,Tell me about Ledaga.,"As a patient, what should I know about Ledaga?","As a physician, what should I know about Ledaga?"
323,brand,Depo-Provera,Tell me about Depo-Provera.,"As a patient, what should I know about Depo-Provera?","As a physician, what should I know about Depo-Provera?"
324,brand,Maygace,Tell me about Maygace.,"As a patient, what should I know about Maygace?","As a physician, what should I know about Maygace?"
325,brand,Alkeran,Tell me about Alkeran.,"As a patient, what should I know about Alkeran?","As a physician, what should I know about Alkeran?"
327,brand,Purinethol,Tell me about Purinethol.,"As a patient, what should I know about Purinethol?","As a physician, what should I know about Purinethol?"
328,brand,Anti Uron,Tell me about Anti Uron.,"As a patient, what should I know about Anti Uron?","As a physician, what should I know about Anti Uron?"
329,brand,Abitrexate,Tell me about Abitrexate.,"As a patient, what should I know about Abitrexate?","As a physician, what should I know about Abitrexate?"
330,brand,Ammoidin,Tell me about Ammoidin.,"As a patient, what should I know about Ammoidin?","As a physician, what should I know about Ammoidin?"
331,brand,Adlone,Tell me about Adlone.,"As a patient, what should I know about Adlone?","As a physician, what should I know about Adlone?"
333,brand,Rydapt,Tell me about Rydapt.,"As a patient, what should I know about Rydapt?","As a physician, what should I know about Rydapt?"
334,brand,Lyomit,Tell me about Lyomit.,"As a patient, what should I know about Lyomit?","As a physician, what should I know about Lyomit?"
335,brand,Lysodren,Tell me about Lysodren.,"As a patient, what should I know about Lysodren?","As a physician, what should I know about Lysodren?"
336,brand,Nitrol,Tell me about Nitrol.,"As a patient, what should I know about Nitrol?","As a physician, what should I know about Nitrol?"
338,brand,Poteligeo,Tell me about Poteligeo.,"As a patient, what should I know about Poteligeo?","As a physician, what should I know about Poteligeo?"
342,brand,Lumoxiti,Tell me about Lumoxiti.,"As a patient, what should I know about Lumoxiti?","As a physician, what should I know about Lumoxiti?"
346,brand,Fraxiparine,Tell me about Fraxiparine.,"As a patient, what should I know about Fraxiparine?","As a physician, what should I know about Fraxiparine?"
347,brand,Portrazza,Tell me about Portrazza.,"As a patient, what should I know about Portrazza?","As a physician, what should I know about Portrazza?"
348,brand,Aqupla,Tell me about Aqupla.,"As a patient, what should I know about Aqupla?","As a physician, what should I know about Aqupla?"
349,brand,Arranon,Tell me about Arranon.,"As a patient, what should I know about Arranon?","As a physician, what should I know about Arranon?"
350,brand,Nerlynx,Tell me about Nerlynx.,"As a patient, what should I know about Nerlynx?","As a physician, what should I know about Nerlynx?"
352,brand,Tasigna,Tell me about Tasigna.,"As a patient, what should I know about Tasigna?","As a physician, what should I know about Tasigna?"
353,brand,Anandron,Tell me about Anandron.,"As a patient, what should I know about Anandron?","As a physician, what should I know about Anandron?"
354,brand,Nidran,Tell me about Nidran.,"As a patient, what should I know about Nidran?","As a physician, what should I know about Nidran?"
355,brand,Cyendiv,Tell me about Cyendiv.,"As a patient, what should I know about Cyendiv?","As a physician, what should I know about Cyendiv?"
356,brand,Niranib,Tell me about Niranib.,"As a patient, what should I know about Niranib?","As a physician, what should I know about Niranib?"
357,brand,Opdivo,Tell me about Opdivo.,"As a patient, what should I know about Opdivo?","As a physician, what should I know about Opdivo?"
359,brand,Myocet,Tell me about Myocet.,"As a patient, what should I know about Myocet?","As a physician, what should I know about Myocet?"
360,brand,Nilevar,Tell me about Nilevar.,"As a patient, what should I know about Nilevar?","As a physician, what should I know about Nilevar?"
361,brand,Gazyva,Tell me about Gazyva.,"As a patient, what should I know about Gazyva?","As a physician, what should I know about Gazyva?"
362,brand,Longastatina,Tell me about Longastatina.,"As a patient, what should I know about Longastatina?","As a physician, what should I know about Longastatina?"
363,brand,Longastatina LAR,Tell me about Longastatina LAR.,"As a patient, what should I know about Longastatina LAR?","As a physician, what should I know about Longastatina LAR?"
364,brand,Arzerra,Tell me about Arzerra.,"As a patient, what should I know about Arzerra?","As a physician, what should I know about Arzerra?"
366,brand,Lynparza,Tell me about Lynparza.,"As a patient, what should I know about Lynparza?","As a physician, what should I know about Lynparza?"
367,brand,Lartruvo,Tell me about Lartruvo.,"As a patient, what should I know about Lartruvo?","As a physician, what should I know about Lartruvo?"
368,brand,Omapro,Tell me about Omapro.,"As a patient, what should I know about Omapro?","As a physician, what should I know about Omapro?"
369,brand,Prilosec,Tell me about Prilosec.,"As a patient, what should I know about Prilosec?","As a physician, what should I know about Prilosec?"
375,brand,Osimert,Tell me about Osimert.,"As a patient, what should I know about Osimert?","As a physician, what should I know about Osimert?"
377,brand,Coxatin,Tell me about Coxatin.,"As a patient, what should I know about Coxatin?","As a physician, what should I know about Coxatin?"
378,brand,Abraxane,Tell me about Abraxane.,"As a patient, what should I know about Abraxane?","As a physician, what should I know about Abraxane?"
379,brand,Abitaxel,Tell me about Abitaxel.,"As a patient, what should I know about Abitaxel?","As a physician, what should I know about Abitaxel?"
380,brand,Vonjo,Tell me about Vonjo.,"As a patient, what should I know about Vonjo?","As a physician, what should I know about Vonjo?"
381,brand,Ibrance,Tell me about Ibrance.,"As a patient, what should I know about Ibrance?","As a physician, what should I know about Ibrance?"
384,brand,Vectibix,Tell me about Vectibix.,"As a patient, what should I know about Vectibix?","As a physician, what should I know about Vectibix?"
385,brand,Faridak,Tell me about Faridak.,"As a patient, what should I know about Faridak?","As a physician, what should I know about Faridak?"
387,brand,Pazopater,Tell me about Pazopater.,"As a patient, what should I know about Pazopater?","As a physician, what should I know about Pazopater?"
388,brand,Oncaspar,Tell me about Oncaspar.,"As a patient, what should I know about Oncaspar?","As a physician, what should I know about Oncaspar?"
391,brand,Pegasys,Tell me about Pegasys.,"As a patient, what should I know about Pegasys?","As a physician, what should I know about Pegasys?"
392,brand,PEG-Intron,Tell me about PEG-Intron.,"As a patient, what should I know about PEG-Intron?","As a physician, what should I know about PEG-Intron?"
393,brand,Caelyx,Tell me about Caelyx.,"As a patient, what should I know about Caelyx?","As a physician, what should I know about Caelyx?"
394,brand,Keytruda,Tell me about Keytruda.,"As a patient, what should I know about Keytruda?","As a physician, what should I know about Keytruda?"
395,brand,Alimta,Tell me about Alimta.,"As a patient, what should I know about Alimta?","As a physician, what should I know about Alimta?"
397,brand,Nipent,Tell me about Nipent.,"As a patient, what should I know about Nipent?","As a physician, what should I know about Nipent?"
400,brand,Omnitarg,Tell me about Omnitarg.,"As a patient, what should I know about Omnitarg?","As a physician, what should I know about Omnitarg?"
405,brand,Pinorubicin,Tell me about Pinorubicin.,"As a patient, what should I know about Pinorubicin?","As a physician, what should I know about Pinorubicin?"
406,brand,Pixuvri,Tell me about Pixuvri.,"As a patient, what should I know about Pixuvri?","As a physician, what should I know about Pixuvri?"
408,brand,Mithracin,Tell me about Mithracin.,"As a patient, what should I know about Mithracin?","As a physician, what should I know about Mithracin?"
410,brand,Actimid,Tell me about Actimid.,"As a patient, what should I know about Actimid?","As a physician, what should I know about Actimid?"
411,brand,Iclusig,Tell me about Iclusig.,"As a patient, what should I know about Iclusig?","As a physician, what should I know about Iclusig?"
414,brand,Folotyn,Tell me about Folotyn.,"As a patient, what should I know about Folotyn?","As a physician, what should I know about Folotyn?"
416,brand,Pravachol,Tell me about Pravachol.,"As a patient, what should I know about Pravachol?","As a physician, what should I know about Pravachol?"
417,brand,Adnisolone,Tell me about Adnisolone.,"As a patient, what should I know about Adnisolone?","As a physician, what should I know about Adnisolone?"
418,brand,Artinizona,Tell me about Artinizona.,"As a patient, what should I know about Artinizona?","As a physician, what should I know about Artinizona?"
419,brand,Indicarb,Tell me about Indicarb.,"As a patient, what should I know about Indicarb?","As a physician, what should I know about Indicarb?"
424,brand,Qualaquin,Tell me about Qualaquin.,"As a patient, what should I know about Qualaquin?","As a physician, what should I know about Qualaquin?"
426,brand,Vanflyta,Tell me about Vanflyta.,"As a patient, what should I know about Vanflyta?","As a physician, what should I know about Vanflyta?"
429,brand,Supect,Tell me about Supect.,"As a patient, what should I know about Supect?","As a physician, what should I know about Supect?"
431,brand,Tomudex,Tell me about Tomudex.,"As a patient, what should I know about Tomudex?","As a physician, what should I know about Tomudex?"
433,brand,Cyramza,Tell me about Cyramza.,"As a patient, what should I know about Cyramza?","As a physician, what should I know about Cyramza?"
434,brand,Cymer,Tell me about Cymer.,"As a patient, what should I know about Cymer?","As a physician, what should I know about Cymer?"
438,brand,Nublexa,Tell me about Nublexa.,"As a patient, what should I know about Nublexa?","As a physician, what should I know about Nublexa?"
441,brand,Kisqali,Tell me about Kisqali.,"As a patient, what should I know about Kisqali?","As a physician, what should I know about Kisqali?"
446,brand,Ikgdar,Tell me about Ikgdar.,"As a patient, what should I know about Ikgdar?","As a physician, what should I know about Ikgdar?"
447,brand,Rituxan Hycela,Tell me about Rituxan Hycela.,"As a patient, what should I know about Rituxan Hycela?","As a physician, what should I know about Rituxan Hycela?"
451,brand,Istodax,Tell me about Istodax.,"As a patient, what should I know about Istodax?","As a physician, what should I know about Istodax?"
453,brand,Besremi,Tell me about Besremi.,"As a patient, what should I know about Besremi?","As a physician, what should I know about Besremi?"
454,brand,Rubraca,Tell me about Rubraca.,"As a patient, what should I know about Rubraca?","As a physician, what should I know about Rubraca?"
455,brand,Jakafi,Tell me about Jakafi.,"As a patient, what should I know about Jakafi?","As a physician, what should I know about Jakafi?"
456,brand,Trodelvy,Tell me about Trodelvy.,"As a patient, what should I know about Trodelvy?","As a physician, what should I know about Trodelvy?"
459,brand,Leukine,Tell me about Leukine.,"As a patient, what should I know about Leukine?","As a physician, what should I know about Leukine?"
461,brand,Nexpovio,Tell me about Nexpovio.,"As a patient, what should I know about Nexpovio?","As a physician, what should I know about Nexpovio?"
462,brand,Koselugo,Tell me about Koselugo.,"As a patient, what should I know about Koselugo?","As a physician, what should I know about Koselugo?"
464,brand,Semustina,Tell me about Semustina.,"As a patient, what should I know about Semustina?","As a physician, what should I know about Semustina?"
467,brand,Provenge,Tell me about Provenge.,"As a patient, what should I know about Provenge?","As a physician, what should I know about Provenge?"
469,brand,Odomzo,Tell me about Odomzo.,"As a patient, what should I know about Odomzo?","As a physician, what should I know about Odomzo?"
470,brand,Nexavar,Tell me about Nexavar.,"As a patient, what should I know about Nexavar?","As a physician, what should I know about Nexavar?"
472,brand,Zanosar,Tell me about Zanosar.,"As a patient, what should I know about Zanosar?","As a physician, what should I know about Zanosar?"
473,brand,Kitent,Tell me about Kitent.,"As a patient, what should I know about Kitent?","As a physician, what should I know about Kitent?"
475,brand,Elzonris,Tell me about Elzonris.,"As a patient, what should I know about Elzonris?","As a physician, what should I know about Elzonris?"
476,brand,Talzenna,Tell me about Talzenna.,"As a patient, what should I know about Talzenna?","As a physician, what should I know about Talzenna?"
477,brand,Imlygic,Tell me about Imlygic.,"As a patient, what should I know about Imlygic?","As a physician, what should I know about Imlygic?"
478,brand,Amnoid,Tell me about Amnoid.,"As a patient, what should I know about Amnoid?","As a physician, what should I know about Amnoid?"
479,brand,Istubal,Tell me about Istubal.,"As a patient, what should I know about Istubal?","As a physician, what should I know about Istubal?"
481,brand,Teysuno,Tell me about Teysuno.,"As a patient, what should I know about Teysuno?","As a physician, what should I know about Teysuno?"
482,brand,Ftorafur,Tell me about Ftorafur.,"As a patient, what should I know about Ftorafur?","As a physician, what should I know about Ftorafur?"
484,brand,Gliotem,Tell me about Gliotem.,"As a patient, what should I know about Gliotem?","As a physician, what should I know about Gliotem?"
485,brand,Torisel,Tell me about Torisel.,"As a patient, what should I know about Torisel?","As a physician, what should I know about Torisel?"
486,brand,Vumon,Tell me about Vumon.,"As a patient, what should I know about Vumon?","As a physician, what should I know about Vumon?"
488,brand,Contergan,Tell me about Contergan.,"As a patient, what should I know about Contergan?","As a physician, what should I know about Contergan?"
489,brand,Lanvis,Tell me about Lanvis.,"As a patient, what should I know about Lanvis?","As a physician, what should I know about Lanvis?"
490,brand,Tepadina,Tell me about Tepadina.,"As a patient, what should I know about Tepadina?","As a physician, what should I know about Tepadina?"
498,brand,Kymriah,Tell me about Kymriah.,"As a patient, what should I know about Kymriah?","As a physician, what should I know about Kymriah?"
500,brand,Fotivda,Tell me about Fotivda.,"As a patient, what should I know about Fotivda?","As a physician, what should I know about Fotivda?"
503,brand,Evotopin,Tell me about Evotopin.,"As a patient, what should I know about Evotopin?","As a physician, what should I know about Evotopin?"
504,brand,Acapodene,Tell me about Acapodene.,"As a patient, what should I know about Acapodene?","As a physician, what should I know about Acapodene?"
506,brand,Bexxar,Tell me about Bexxar.,"As a patient, what should I know about Bexxar?","As a physician, what should I know about Bexxar?"
507,brand,Yondelis,Tell me about Yondelis.,"As a patient, what should I know about Yondelis?","As a physician, what should I know about Yondelis?"
508,brand,Mekinist,Tell me about Mekinist.,"As a patient, what should I know about Mekinist?","As a physician, what should I know about Mekinist?"
509,brand,Amixam,Tell me about Amixam.,"As a patient, what should I know about Amixam?","As a physician, what should I know about Amixam?"
512,brand,Biceltis,Tell me about Biceltis.,"As a patient, what should I know about Biceltis?","As a physician, what should I know about Biceltis?"
514,brand,Imjudo,Tell me about Imjudo.,"As a patient, what should I know about Imjudo?","As a physician, what should I know about Imjudo?"
515,brand,Ovastat,Tell me about Ovastat.,"As a patient, what should I know about Ovastat?","As a physician, what should I know about Ovastat?"
516,brand,Lonsurf,Tell me about Lonsurf.,"As a patient, what should I know about Lonsurf?","As a physician, what should I know about Lonsurf?"
518,brand,Decapeptyl,Tell me about Decapeptyl.,"As a patient, what should I know about Decapeptyl?","As a physician, what should I know about Decapeptyl?"
527,brand,Depacon,Tell me about Depacon.,"As a patient, what should I know about Depacon?","As a physician, what should I know about Depacon?"
528,brand,Valstar,Tell me about Valstar.,"As a patient, what should I know about Valstar?","As a physician, what should I know about Valstar?"
529,brand,Caprelsa,Tell me about Caprelsa.,"As a patient, what should I know about Caprelsa?","As a physician, what should I know about Caprelsa?"
533,brand,Zelboraf,Tell me about Zelboraf.,"As a patient, what should I know about Zelboraf?","As a physician, what should I know about Zelboraf?"
